orthogroup	EXP
1195at7399	1
1196at7399	3
1208at7399	1
1220at7399	10
1221at7399	1
1227at7399	1
1230at7399	2
1232at7399	0
1235at7399	0
1242at7399	1
1245at7399	3
1246at7399	4
1247at7399	4
1252at7399	5
1259at7399	1
1261at7399	2
1262at7399	1
1268at7399	0
1274at7399	0
1275at7399	2
1278at7399	1
1279at7399	2
1282at7399	1
1283at7399	0
1286at7399	0
1287at7399	0
1288at7399	0
1289at7399	2
1290at7399	1
1293at7399	0
1294at7399	1
1296at7399	2
1297at7399	1
1298at7399	1
1299at7399	1
1303at7399	0
1307at7399	0
1313at7399	1
1314at7399	0
1318at7399	2
1322at7399	0
1325at7399	3
1329at7399	0
1330at7399	0
1331at7399	1
1334at7399	0
1335at7399	0
1336at7399	4
1339at7399	7
1342at7399	1
1343at7399	2
1348at7399	1
1355at7399	2
1356at7399	3
1360at7399	4
1362at7399	0
1363at7399	3
1366at7399	4
1369at7399	3
1371at7399	0
1372at7399	1
1373at7399	0
1374at7399	3
1376at7399	0
1378at7399	0
1381at7399	5
1382at7399	0
1392at7399	0
1393at7399	0
1395at7399	1
1397at7399	2
1399at7399	0
1403at7399	0
1404at7399	0
1408at7399	2
1410at7399	2
1415at7399	7
1419at7399	0
1421at7399	1
1425at7399	4
1426at7399	3
1427at7399	0
1428at7399	0
1429at7399	3
1434at7399	1
1438at7399	1
1440at7399	1
1444at7399	1
1446at7399	4
1448at7399	2
1450at7399	5
1454at7399	6
1455at7399	1
1456at7399	0
1457at7399	1
1459at7399	0
1460at7399	0
1462at7399	0
1465at7399	7
1467at7399	1
1469at7399	1
1475at7399	1
1478at7399	1
1480at7399	1
1482at7399	0
1483at7399	0
1493at7399	6
1494at7399	3
1502at7399	0
1503at7399	1
1507at7399	4
1508at7399	2
1512at7399	0
1513at7399	3
1515at7399	0
1521at7399	2
1525at7399	0
1527at7399	0
1529at7399	0
1530at7399	1
1531at7399	2
1532at7399	1
1534at7399	0
1538at7399	5
1541at7399	0
1542at7399	1
1544at7399	3
1545at7399	2
1550at7399	0
1565at7399	2
1567at7399	0
1572at7399	2
1574at7399	1
1575at7399	1
1576at7399	0
1584at7399	5
1588at7399	2
1589at7399	0
1590at7399	0
1597at7399	1
1602at7399	2
1607at7399	0
1608at7399	1
1614at7399	5
1616at7399	1
1620at7399	1
1627at7399	3
1630at7399	2
1638at7399	2
1640at7399	1
1641at7399	0
1645at7399	0
1646at7399	1
1648at7399	0
1650at7399	1
1652at7399	0
1656at7399	0
1659at7399	3
1664at7399	0
1668at7399	0
1672at7399	1
1674at7399	0
1678at7399	0
1686at7399	0
1688at7399	1
1689at7399	1
1694at7399	0
1695at7399	1
1696at7399	1
1701at7399	1
1702at7399	0
1709at7399	1
1712at7399	0
1713at7399	1
1716at7399	0
1720at7399	0
1722at7399	0
1723at7399	1
1728at7399	2
1730at7399	1
