orthogroup	LCA
MZ22502497	7
MZ22502498	7
MZ22502502	7
MZ22502505	7
MZ22502508	7
MZ22502510	7
MZ22502513	7
MZ22502517	7
MZ22502519	7
MZ22502521	7
MZ22502522	7
MZ22502523	7
MZ22502527	7
MZ22502528	7
MZ22502529	7
MZ22502532	7
MZ22502533	7
MZ22502535	7
MZ22502538	7
MZ22502539	7
MZ22502540	7
MZ22502541	7
MZ22502543	7
MZ22502544	7
MZ22502547	7
MZ22502549	7
MZ22502550	7
MZ22502551	7
MZ22502552	7
MZ22502554	7
MZ22502555	6
MZ22502558	7
MZ22502561	7
MZ22502564	7
MZ22502565	7
MZ22502567	7
MZ22502568	7
MZ22502570	7
MZ22502571	7
MZ22502573	7
MZ22502574	7
MZ22502575	7
MZ22502577	7
MZ22502578	7
MZ22502581	7
MZ22502583	7
MZ22502584	7
MZ22502585	7
MZ22502590	7
MZ22502592	7
MZ22502600	7
MZ22502601	7
MZ22502603	7
MZ22502605	7
MZ22502606	7
MZ22502609	7
MZ22502612	7
MZ22502617	7
MZ22502619	7
MZ22502620	7
MZ22502624	7
MZ22502627	7
MZ22502629	7
MZ22502631	7
MZ22502632	7
MZ22502633	7
MZ22502635	7
MZ22502636	7
MZ22502640	7
MZ22502641	7
MZ22502642	7
MZ22502645	7
MZ22502646	7
MZ22502648	7
MZ22502649	7
MZ22502650	7
MZ22502656	7
MZ22502658	7
MZ22502661	7
MZ22502662	7
MZ22502668	7
MZ22502670	7
MZ22502673	7
MZ22502674	7
MZ22502675	7
MZ22502678	7
MZ22502683	7
MZ22502684	7
MZ22502686	7
MZ22502687	7
MZ22502688	6
MZ22502693	7
MZ22502697	7
MZ22502698	7
MZ22502699	7
MZ22502700	7
MZ22502702	7
MZ22502703	7
MZ22502705	7
MZ22502706	7
MZ22502708	7
MZ22502709	7
MZ22502710	7
MZ22502711	7
MZ22502720	7
MZ22502725	7
MZ22502726	7
MZ22502727	7
MZ22502732	7
MZ22502733	7
MZ22502736	7
MZ22502737	7
MZ22502740	7
MZ22502752	7
MZ22502754	7
MZ22502757	7
MZ22502758	7
MZ22502759	7
MZ22502760	7
MZ22502765	7
MZ22502766	7
MZ22502771	7
MZ22502775	7
MZ22502777	7
MZ22502782	7
MZ22502784	6
MZ22502785	7
MZ22502787	7
MZ22502790	7
MZ22502791	7
MZ22502795	7
MZ22502797	7
MZ22502798	7
MZ22502799	7
MZ22502803	7
MZ22502805	7
