gene	CAF
GB54843	0.94
GB51763	0.935
GB46271	0.9520000000000001
GB44263	0.7020000000000001
GB41378	0.887
GB48997	0.9279999999999999
GB41629	0.948
GB55627	0.7020000000000001
GB54680	0.93
GB54114	0.6609999999999999
GB40263	0.992
GB41835	0.7020000000000001
GB42579	0.7020000000000001
GB55723	0.867
GB46886	0.647
GB42222	0.6970000000000001
GB55973	0.688
GB43198	0.7020000000000001
GB46262,GB46260,GB46262	0.96
GB53737	0.7020000000000001
GB50171	0.9420000000000001
GB52849	0.7020000000000001
GB44029	0.8690000000000001
GB41297	0.9209999999999999
GB45195	0.743
GB55644	0.96
GB44758	0.7020000000000001
GB55801	0.7020000000000001
GB51422	0.934
GB54909	0.7
GB45142	0.935
GB55008,GB49845	0.971
GB44643	0.94
GB40845	0.9420000000000001
GB42150	0.722
GB43857	0.7020000000000001
GB41193	0.8029999999999999
GB52171	0.904
GB42869,GB50987	0.915
GB55652	0.8859999999999999
GB53974	0.998
GB55714	0.466
GB54263	0.7020000000000001
GB41038	0.5589999999999999
GB49426	0.647
GB43786	0.7020000000000001
GB45694	0.7020000000000001
GB47182	0.66
GB47632	0.708
GB43562	0.759
GB41869	0.706
GB43722	0.9890000000000001
GB45229	0.9890000000000001
GB41810	0.92
GB48101	0.7020000000000001
GB47625,GB42004	0.9440000000000001
GB47596,GB47596	0.992
GB44743	0.9279999999999999
GB55352	0.7020000000000001
GB50814	0.9420000000000001
GB40025	0.9540000000000001
GB44779	0.7020000000000001
GB46362	0.914
GB51016,GB51016	0.875
GB51111	0.6940000000000001
GB49026	0.929
GB50819	0.94
GB46114	0.7020000000000001
GB47918,GB56032	0.833
GB45091	0.94
GB53540	0.7020000000000001
GB51649	0.929
GB43338	0.66
GB48487	0.7020000000000001
GB49459	0.7
GB44646	0.7020000000000001
GB45819,GB42408,GB44278,GB44278,GB42409	0.986
GB45679	0.932
GB52212,GB52212	0.792
GB42152	0.7
GB55557	0.904
GB50525	0.687
GB41547	0.904
GB46509	0.934
GB44947	0.9520000000000001
GB41804	0.012
GB47925	0.9440000000000001
GB47468	0.621
GB53729	0.743
GB43234	0.977
GB41668	0.929
GB44896	0.9420000000000001
GB48821	0.6940000000000001
GB52084	0.9540000000000001
GB47888	0.7020000000000001
GB40075	0.6940000000000001
GB43892	0.66
GB40706	0.9440000000000001
GB45389	0.9420000000000001
GB45693,GB45693	0.943
GB42942	0.9520000000000001
GB51185	0.809
GB54803	0.983
GB49297	0.647
GB44216,GB44968,GB50868,GB54361	0.996
GB55492	0.7020000000000001
GB41744	0.601
GB48658	0.9329999999999999
GB42603,GB42808,GB42885	0.987
GB47391	0.932
GB48336	0.7020000000000001
GB50104	0.7020000000000001
GB49042	0.94
GB42484	0.726
GB47091	0.693
GB54169	0.94
GB50372	0.664
GB44624	0.998
GB48868	0.856
GB43855	0.7020000000000001
GB41722	0.863
GB40414	0.7020000000000001
GB42895	0.8490000000000001
GB40916,GB46759	0.982
GB54959	0.986
GB52737	0.9420000000000001
GB50854	0.7020000000000001
GB54092	0.7020000000000001
GB43160	0.6940000000000001
GB40741	0.647
GB40341	0.993
GB44034	0.956
GB46963	0.9159999999999999
GB53697	0.7020000000000001
GB49193	0.7020000000000001
GB41649	0.7020000000000001
GB47204	0.934
GB43157	0.948
GB50909,GB50909	0.9420000000000001
GB49537	0.9990000000000001
GB42418	0.7020000000000001
GB42669	0.706
GB47309	0.912
GB43874	0.7020000000000001
GB54953	0.927
GB47950	0.6829999999999999
GB41734	0.9159999999999999
GB48031	0.7020000000000001
GB43264	0.8640000000000001
GB55645	0.685
GB41035	0.67
GB48001	0.7020000000000001
GB40283	0.568
GB41544,GB41544	0.917
GB40016	0.7020000000000001
GB40504	0.935
GB48254	0.7020000000000001
GB44126	0.7020000000000001
GB40977	0.7020000000000001
GB53676	0.93
GB52253	0.935
GB55880,GB41941	0.9420000000000001
GB41406	0.381
GB54246	0.893
GB46813	0.995
